year,stateobs,state,births,lnbirths,population,lnpopulation,workforce,infrastructure,economy,qualityoflife,costofdoingbusiness,technology,businessfriendliness,education,accesstocapital,costofliving,overallrank,workforce_l1,infrastructure_l1,economy_l1,qualityoflife_l1,costofdoingbusiness_l1,technology_l1,businessfriendliness_l1,education_l1,accesstocapital_l1,costofliving_l1,overallrank_l1,population_l1,lag_lnpopulation
2008,20,Maryland,15019,9.617071151733398,5.684965,1.7378249168395996,41,40,25,37,33,11,20,22,7,45,36,33,23,15,37,29,11,20,26,8,46,27,5.653408050537109,1.7322585582733154
2009,20,Maryland,13422,9.504650115966797,5.730388,1.7457832098007202,35,36,14,29,42,14,19,13,8,45,27,41,40,25,37,33,11,20,22,7,45,36,5.684965133666992,1.7378249168395996
2010,20,Maryland,14069,9.551729202270508,5.788645,1.7558982372283936,36,43,18,28,43,8,16,10,12,45,27,35,36,14,29,42,14,19,13,8,45,27,5.730388164520264,1.7457832098007202
2011,20,Maryland,14857,9.606225967407227,5.839419,1.7646312713623047,38,39,12,30,39,10,18,11,12,44,29,36,43,18,28,43,8,16,10,12,45,27,5.788644790649414,1.7558982372283936
2012,20,Maryland,15029,9.61773681640625,5.886992,1.772745132446289,24,43,24,29,42,10,24,9,7,43,31,38,39,12,30,39,10,18,11,12,44,29,5.839418888092041,1.7646312713623047
2013,20,Maryland,14886,9.608176231384277,5.923188,1.7788748741149902,20,NA,33,25,41,9,45,2,9,42,40,24,43,24,29,42,10,24,9,7,43,31,5.88699197769165,1.772745132446289
2014,20,Maryland,15217,9.630168914794922,5.957283,1.7846145629882812,20,NA,24,26,45,7,42,7,27,41,35,20,NA,33,25,41,9,45,2,9,42,40,5.923188209533691,1.7788748741149902
2015,20,Maryland,16246,9.6956024169921875,5.985562,1.7893502712249756,2,NA,35,29,48,7,32,6,29,40,36,20,NA,24,26,45,7,42,7,27,41,35,5.957283020019531,1.7846145629882812
2016,20,Maryland,15519,9.649820327758789,6.003323,1.7923130989074707,10,44,23,27,48,5,26,16,26,38,30,2,NA,35,29,48,7,32,6,29,40,36,5.985561847686768,1.7893502712249756
2017,20,Maryland,15741,9.664024353027344,6.023868,1.795729637145996,11,43,7,26,48,4,33,25,15,44,25,10,44,23,27,48,5,26,16,26,38,30,6.003323078155518,1.7923130989074707
2018,20,Maryland,15554,9.65207290649414,6.035802,1.7977087497711182,6,45,21,26,45,10,35,20,16,44,31,11,43,7,26,48,4,33,25,15,44,25,6.023868083953857,1.795729637145996
2019,20,Maryland,15723,9.662879943847656,6.04568,1.7993439435958862,6,41,35,27,46,5,31,23,14,46,31,6,45,21,26,45,10,35,20,16,44,31,6.035801887512207,1.7977087497711182
2021,20,Maryland,17830,9.7886381149292,6.175045,1.8205162286758423,10,NA,20,20,43,2,26,18,18,44,12,6,41,35,27,46,5,31,23,14,46,31,NA,NA
2022,20,Maryland,22296,10.012162208557129,6.163981,1.8187228441238403,10,22,31,18,44,14,29,18,13,44,27,10,NA,20,20,43,2,26,18,18,44,12,6.175045013427734,1.8205162286758423
2007,21,Massachusetts,17834,9.788862228393555,6.431559,1.8612170219421387,26,38,41,3,40,4,13,1,2,43,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,21,Massachusetts,17038,9.74320125579834,6.468967,1.8670164346694946,34,36,25,15,41,4,13,1,2,42,15,26,38,41,3,40,4,13,1,2,43,12,6.431559085845947,1.8612170219421387
2009,21,Massachusetts,15546,9.651558876037598,6.517613,1.874508261680603,26,31,12,6,40,5,17,1,2,36,8,34,36,25,15,41,4,13,1,2,42,15,6.468966960906982,1.8670164346694946
2010,21,Massachusetts,17422,9.765488624572754,6.566307,1.8819515705108643,23,39,17,6,39,3,14,1,2,41,5,26,31,12,6,40,5,17,1,2,36,8,6.517612934112549,1.874508261680603
2011,21,Massachusetts,20105,9.908723831176758,6.613583,1.8891255855560303,31,29,15,10,41,3,15,4,2,41,6,23,39,17,6,39,3,14,1,2,41,5,6.566307067871094,1.8819515705108643
2012,21,Massachusetts,20841,9.944677352905273,6.663005,1.8965705633163452,32,45,21,11,49,7,29,3,1,41,28,31,29,15,10,41,3,15,4,2,41,6,6.613583087921143,1.8891255855560303
2013,21,Massachusetts,20860,9.945589065551758,6.713315,1.9040929079055786,28,NA,3,13,47,7,21,7,1,43,16,32,45,21,11,49,7,29,3,1,41,28,6.6630048751831055,1.8965705633163452
2014,21,Massachusetts,25950,10.16392707824707,6.762596,1.9114068746566772,20,NA,19,7,46,5,21,3,9,45,25,28,NA,3,13,47,7,21,7,1,43,16,6.713315010070801,1.9040929079055786
2015,21,Massachusetts,24261,10.096625328063965,6.794228,1.9160734415054321,7,NA,28,8,46,3,22,1,17,43,20,20,NA,19,7,46,5,21,3,9,45,25,6.762596130371094,1.9114068746566772
2016,21,Massachusetts,23878,10.080713272094727,6.823608,1.9203883409500122,2,42,18,17,46,3,20,1,19,44,20,7,NA,28,8,46,3,22,1,17,43,20,6.7942280769348145,1.9160734415054321
2017,21,Massachusetts,25732,10.15549087524414,6.859789,1.925676703453064,6,41,14,10,45,1,20,1,7,47,10,2,42,18,17,46,3,20,1,19,44,20,6.823607921600342,1.9203883409500122
2018,21,Massachusetts,25913,10.162500381469727,6.882635,1.9290015697479248,1,42,14,10,43,2,18,1,7,48,8,6,41,14,10,45,1,20,1,7,47,10,6.85978889465332,1.925676703453064
2019,21,Massachusetts,24137,10.091501235961914,6.892503,1.9304343461990356,5,48,18,10,47,3,14,1,6,47,14,1,42,14,10,43,2,18,1,7,48,8,6.882635116577148,1.9290015697479248
2021,21,Massachusetts,39261,10.577986717224121,6.991951,1.9447596073150635,9,NA,28,8,49,2,32,1,6,46,14,5,48,18,10,47,3,14,1,6,47,14,NA,NA
2022,21,Massachusetts,26934,10.20114517211914,6.98274,1.943441390991211,24,31,26,13,49,10,21,1,6,47,24,9,NA,28,8,49,2,32,1,6,46,14,6.991950988769531,1.9447596073150635
2007,22,Michigan,20251,9.915959358215332,10.001284,2.302713394165039,36,13,46,24,38,8,24,21,22,28,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,22,Michigan,19503,9.878323554992676,9.946889,2.29725980758667,39,21,48,23,34,8,39,28,24,25,40,36,13,46,24,38,8,24,21,22,28,41,10.001283645629883,2.302713394165039
2009,22,Michigan,17446,9.766865730285645,9.901591,2.2926955223083496,39,20,45,40,31,7,39,34,10,23,41,39,21,48,23,34,8,39,28,24,25,40,9.94688892364502,2.29725980758667
2010,22,Michigan,17102,9.74695110321045,9.87751,2.2902605533599854,41,24,47,36,32,7,35,35,18,24,41,39,20,45,40,31,7,39,34,10,23,41,9.901591300964355,2.2926955223083496
2011,22,Michigan,18365,9.818202018737793,9.882412,2.2907567024230957,41,10,36,35,27,8,36,34,31,18,34,41,24,47,36,32,7,35,35,18,24,41,9.877510070800781,2.2902605533599854
2012,22,Michigan,17379,9.763017654418945,9.897145,2.2922463417053223,38,25,28,34,29,12,34,38,21,12,33,41,10,36,35,27,8,36,34,31,18,34,9.88241195678711,2.2907567024230957
2013,22,Michigan,19445,9.875345230102539,9.913065,2.293853521347046,15,NA,26,43,33,12,32,32,23,18,29,38,25,28,34,29,12,34,38,21,12,33,9.89714527130127,2.2922463417053223
2014,22,Michigan,19163,9.860736846923828,9.929848,2.2955451011657715,15,NA,28,45,31,14,32,34,23,17,26,15,NA,26,43,33,12,32,32,23,18,29,9.913064956665039,2.293853521347046
2015,22,Michigan,17844,9.789422988891602,9.931715,2.2957332134246826,25,NA,29,48,17,8,36,25,4,7,22,15,NA,28,45,31,14,32,34,23,17,26,9.929847717285156,2.2955451011657715
2016,22,Michigan,17887,9.791829109191895,9.950571,2.2976298332214355,29,27,7,32,12,6,30,19,4,10,7,25,NA,29,48,17,8,36,25,4,7,22,9.93171501159668,2.2957332134246826
2017,22,Michigan,17880,9.791438102722168,9.973114,2.2998929023742676,13,19,9,33,24,9,25,23,17,3,11,29,27,7,32,12,6,30,19,4,10,7,9.950571060180664,2.2976298332214355
2018,22,Michigan,19795,9.893184661865234,9.984072,2.3009910583496094,10,18,16,33,19,3,25,28,15,4,11,13,19,9,33,24,9,25,23,17,3,11,9.973114013671875,2.2998929023742676
2019,22,Michigan,20367,9.921670913696289,9.986857,2.301270008087158,23,33,24,31,27,6,22,43,16,5,24,10,18,16,33,19,3,25,28,15,4,11,9.984071731567383,2.3009910583496094
2021,22,Michigan,29809,10.302565574645996,10.038117,2.306389570236206,28,NA,24,28,16,6,25,42,20,11,11,23,33,24,31,27,6,22,43,16,5,24,NA,NA
2022,22,Michigan,28785,10.267609596252441,10.033281,2.305907726287842,26,19,21,29,9,15,20,27,11,12,16,28,NA,24,28,16,6,25,42,20,11,11,10.038117408752441,2.306389570236206
2007,23,Minnesota,17939,9.794732093811035,5.207203,1.6500428915023804,22,11,34,7,31,13,15,10,13,23,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,23,Minnesota,11679,9.365547180175781,5.247018,1.657659888267517,31,8,27,5,29,11,16,9,15,31,10,22,11,34,7,31,13,15,10,13,23,9,5.207202911376953,1.6500428915023804
2009,23,Minnesota,10963,9.302281379699707,5.281203,1.6641539335250854,28,12,9,13,30,9,18,10,19,32,6,31,8,27,5,29,11,16,9,15,31,10,5.247017860412598,1.657659888267517
2010,23,Minnesota,11527,9.352447509765625,5.310828,1.6697477102279663,34,11,5,12,31,16,20,9,19,15,8,28,12,9,13,30,9,18,10,19,32,6,5.281202793121338,1.6641539335250854
2011,23,Minnesota,14860,9.606428146362305,5.346143,1.676375389099121,36,15,27,8,23,16,20,10,16,33,7,34,11,5,12,31,16,20,9,19,15,8,5.31082820892334,1.6697477102279663
2012,23,Minnesota,12962,9.46977710723877,5.376643,1.682064175605774,31,2,16,5,25,18,23,11,15,35,11,36,15,27,8,23,16,20,10,16,33,7,5.346142768859863,1.676375389099121
2013,23,Minnesota,11720,9.369051933288574,5.413479,1.6888920068740845,32,NA,10,3,39,18,15,23,17,34,15,31,2,16,5,25,18,23,11,15,35,11,5.376643180847168,1.682064175605774
2014,23,Minnesota,12687,9.448332786560059,5.451079,1.695813536643982,30,NA,5,4,38,11,15,12,11,28,6,32,NA,10,3,39,18,15,23,17,34,15,5.413478851318359,1.6888920068740845
2015,23,Minnesota,13403,9.503233909606934,5.482032,1.7014758586883545,13,NA,5,3,35,6,23,2,23,32,1,30,NA,5,4,38,11,15,12,11,28,6,5.45107889175415,1.695813536643982
2016,23,Minnesota,12668,9.446834564208984,5.522744,1.7088748216629028,15,5,17,2,35,9,27,2,21,27,4,13,NA,5,3,35,6,23,2,23,32,1,5.48203182220459,1.7014758586883545
2017,23,Minnesota,12885,9.46381950378418,5.56623,1.7167179584503174,16,10,6,3,36,5,33,2,16,31,3,15,5,17,2,35,9,27,2,21,27,4,5.522744178771973,1.7088748216629028
2018,23,Minnesota,13779,9.530900955200195,5.606249,1.7238818407058716,16,6,18,3,38,5,28,5,17,29,6,16,10,6,3,36,5,33,2,16,31,3,5.566229820251465,1.7167179584503174
2019,23,Minnesota,14278,9.566474914550781,5.639632,1.7298188209533691,13,9,23,3,39,7,28,3,17,31,7,16,6,18,3,38,5,28,5,17,29,6,5.60624885559082,1.7238818407058716
2021,23,Minnesota,18763,9.839642524719238,5.717968,1.7436134815216064,29,NA,18,4,42,4,28,5,14,30,7,13,9,23,3,39,7,28,3,17,31,7,NA,NA
2022,23,Minnesota,18610,9.831454277038574,5.7143,1.7429717779159546,21,4,16,5,41,6,32,15,13,26,9,29,NA,18,4,42,4,28,5,14,30,7,5.717967987060547,1.7436134815216064
2007,24,Mississippi,6591,8.79345989227295,2.92835,1.0744391679763794,16,32,49,47,17,45,43,50,43,6,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,24,Mississippi,5589,8.6285552978515625,2.947806,1.0810611248016357,15,31,46,48,17,46,44,50,37,10,46,16,32,49,47,17,45,43,50,43,6,46,2.9283499717712402,1.0744391679763794
2009,24,Mississippi,5091,8.535229682922363,2.958774,1.0847749710083008,22,43,27,43,14,43,46,50,36,11,45,15,31,46,48,17,46,44,50,37,10,46,2.947805881500244,1.0810611248016357
2010,24,Mississippi,5382,8.590815544128418,2.970548,1.088746428489685,21,45,35,42,11,46,47,49,40,13,45,22,43,27,43,14,43,46,50,36,11,45,2.9587740898132324,1.0847749710083008
2011,24,Mississippi,5462,8.605569839477539,2.978731,1.0914974212646484,20,32,39,41,31,45,45,48,35,10,47,21,45,35,42,11,46,47,49,40,13,45,2.970547914505005,1.088746428489685
2012,24,Mississippi,5311,8.577535629272461,2.983816,1.093203067779541,17,34,48,41,18,42,44,44,48,8,46,20,32,39,41,31,45,45,48,35,10,47,2.9787309169769287,1.0914974212646484
2013,24,Mississippi,5133,8.543445587158203,2.988711,1.0948421955108643,18,NA,47,37,3,44,49,47,39,10,41,17,34,48,41,18,42,44,44,48,8,46,2.983815908432007,1.093203067779541
2014,24,Mississippi,5375,8.589513778686523,2.990468,1.0954298973083496,17,NA,26,38,4,47,49,48,31,6,36,18,NA,47,37,3,44,49,47,39,10,41,2.98871111869812,1.0948421955108643
2015,24,Mississippi,5476,8.60813045501709,2.988471,1.094761848449707,21,NA,50,39,2,48,48,47,33,1,43,17,NA,26,38,4,47,49,48,31,6,36,2.9904680252075195,1.0954298973083496
2016,24,Mississippi,5755,8.657824516296387,2.987938,1.094583511352539,44,31,50,44,3,50,47,48,34,1,47,21,NA,50,39,2,48,48,47,33,1,43,2.988471031188965,1.094761848449707
2017,24,Mississippi,5538,8.619388580322266,2.9885100000000002,1.0947749614715576,46,41,47,44,1,46,43,46,44,1,48,44,31,50,44,3,50,47,48,34,1,47,2.9879379272460938,1.094583511352539
2018,24,Mississippi,5412,8.596373558044434,2.98102,1.0922654867172241,41,41,49,42,22,46,45,43,43,1,49,46,41,47,44,1,46,43,46,44,1,48,2.9885098934173584,1.0947749614715576
2019,24,Mississippi,5263,8.568456649780273,2.976149,1.0906301736831665,42,38,50,42,6,48,47,44,42,1,48,41,41,49,42,22,46,45,43,43,1,49,2.981019973754883,1.0922654867172241
2021,24,Mississippi,7487,8.920923233032227,2.949582,1.0816634893417358,41,NA,42,37,7,48,43,43,32,1,45,42,38,50,42,6,48,47,44,42,1,48,NA,NA
2022,24,Mississippi,8562,9.055088996887207,2.938928,1.0780448913574219,47,46,49,33,17,48,50,46,41,1,50,41,NA,42,37,7,48,43,43,32,1,45,2.949582099914551,1.0816634893417358
2007,25,Missouri,13417,9.504278182983398,5.887612,1.772850513458252,30,27,36,40,6,26,24,18,21,9,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,25,Missouri,14456,9.578865051269531,5.923916,1.7789976596832275,26,10,43,39,8,26,23,19,26,5,24,30,27,36,40,6,26,24,18,21,9,25,5.8876118659973145,1.772850513458252
2009,25,Missouri,13480,9.508962631225586,5.961088,1.7852530479431152,34,6,25,41,4,21,23,21,26,5,14,26,10,43,39,8,26,23,19,26,5,24,5.923915863037109,1.7789976596832275
2010,25,Missouri,14181,9.55965805053711,5.995974,1.7910882234573364,29,7,29,39,5,24,25,15,20,9,17,34,6,25,41,4,21,23,21,26,5,14,5.961088180541992,1.7852530479431152
2011,25,Missouri,15724,9.662943840026855,6.010275,1.7934705018997192,33,9,29,34,3,23,25,17,22,8,16,29,7,29,39,5,24,25,15,20,9,17,5.995974063873291,1.7910882234573364
2012,25,Missouri,16909,9.735601425170898,6.024367,1.7958123683929443,38,20,29,37,12,21,25,20,37,14,27,33,9,29,34,3,23,25,17,22,8,16,6.010274887084961,1.7934705018997192
2013,25,Missouri,16320,9.700146675109863,6.040715,1.7985223531723022,48,NA,17,47,19,22,29,20,23,11,26,38,20,29,37,12,21,25,20,37,14,27,6.024366855621338,1.7958123683929443
2014,25,Missouri,18241,9.811427116394043,6.056202,1.8010828495025635,44,NA,15,48,11,24,29,20,39,18,23,48,NA,17,47,19,22,29,20,23,11,26,6.040715217590332,1.7985223531723022
2015,25,Missouri,19982,9.902586936950684,6.071732,1.8036439418792725,38,NA,33,47,11,23,15,20,24,17,26,44,NA,15,48,11,24,29,20,39,18,23,6.056201934814453,1.8010828495025635
2016,25,Missouri,19041,9.854350090026855,6.087135,1.8061774969100952,49,9,34,49,14,25,15,14,20,11,31,38,NA,33,47,11,23,15,20,24,17,26,6.071732044219971,1.8036439418792725
2017,25,Missouri,24732,10.115853309631348,6.10667,1.8093816041946411,43,11,18,46,17,22,23,15,20,11,22,49,9,34,49,14,25,15,14,20,11,31,6.087134838104248,1.8061774969100952
2018,25,Missouri,22870,10.037581443786621,6.121623,1.811827301979065,41,11,25,45,8,22,27,18,22,6,23,43,11,18,46,17,22,23,15,20,11,22,6.106669902801514,1.8093816041946411
2019,25,Missouri,24886,10.122060775756836,6.137428,1.8144057989120483,38,7,24,43,8,22,27,14,22,4,23,41,11,25,45,8,22,27,18,22,6,23,6.1216230392456055,1.811827301979065
2021,25,Missouri,31530,10.358695030212402,6.170393,1.8197625875473022,45,NA,10,47,5,24,23,22,22,5,25,38,7,24,43,8,22,27,14,22,4,23,NA,NA
2022,25,Missouri,33703,10.425342559814453,6.177168,1.8208599090576172,49,10,17,46,1,19,36,27,29,6,25,45,NA,10,47,5,24,23,22,22,5,25,6.170392990112305,1.8197625875473022
2007,26,Montana,4196,8.341886520385742,0.964706,-0.03593188896775246,45,33,9,33,19,45,44,17,47,25,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,26,Montana,3739,8.226573944091797,0.976415,-0.02386757731437683,36,29,10,30,26,45,44,16,45,31,33,45,33,9,33,19,45,44,17,47,25,35,0.9647060036659241,-0.03593188896775246
2009,26,Montana,3297,8.100768089294434,0.983982,-0.01614767499268055,40,24,9,21,27,45,41,17,36,31,38,36,29,10,30,26,45,44,16,45,31,33,0.9764149785041809,-0.02386757731437683
2010,26,Montana,3356,8.118505477905273,0.990697,-0.00934654287993908,28,24,15,15,26,44,42,18,36,32,36,40,24,9,21,27,45,41,17,36,31,38,0.9839820265769958,-0.01614767499268055
2011,26,Montana,3664,8.206310272216797,0.997316,-0.0026876083575189114,30,34,7,15,25,46,46,28,35,30,38,28,24,15,15,26,44,42,18,36,32,36,0.9906970262527466,-0.00934654287993908
2012,26,Montana,3885,8.264878273010254,1.003783,0.0037758625112473965,47,14,18,18,7,39,41,16,42,31,24,30,34,7,15,25,46,46,28,35,30,38,0.9973160028457642,-0.0026876083575189114
2013,26,Montana,3819,8.247743606567383,1.013569,0.013477765955030918,34,NA,19,12,5,40,43,23,39,30,19,47,14,18,18,7,39,41,16,42,31,24,1.0037829875946045,0.0037758625112473965
2014,26,Montana,3622,8.194781303405762,1.021869,0.02163330279290676,46,NA,38,11,12,45,42,21,27,25,33,34,NA,19,12,5,40,43,23,39,30,19,1.0135689973831177,0.013477765955030918
2015,26,Montana,4479,8.40715503692627,1.030475,0.030019860714673996,48,NA,16,13,16,41,30,32,39,30,28,46,NA,38,11,12,45,42,21,27,25,33,1.0218689441680908,0.02163330279290676
2016,26,Montana,4087,8.315566062927246,1.040859,0.0400463342666626,45,24,13,10,8,40,23,27,40,24,22,48,NA,16,13,16,41,30,32,39,30,28,1.0304750204086304,0.030019860714673996
2017,26,Montana,4424,8.39479923248291,1.052482,0.05115118250250816,44,30,35,8,11,37,26,22,35,30,30,45,24,13,10,8,40,23,27,40,24,22,1.0408589839935303,0.0400463342666626
2018,26,Montana,4930,8.503094673156738,1.060665,0.05889606848359108,45,32,34,7,14,39,20,24,38,31,34,44,30,35,8,11,37,26,22,35,30,30,1.052482008934021,0.05115118250250816
2019,26,Montana,5113,8.539541244506836,1.068778,0.06651593744754791,37,29,40,7,11,39,23,34,40,33,33,45,32,34,7,14,39,20,24,38,31,34,1.0606650114059448,0.05889606848359108
2021,26,Montana,7910,8.975883483886719,1.106366,0.1010807678103447,48,NA,18,17,20,35,5,28,41,27,34,37,29,40,7,11,39,23,34,40,33,33,NA,NA
2022,26,Montana,7567,8.931551933288574,1.122878,0.11589503288269043,33,45,9,24,27,46,5,33,38,28,30,48,NA,18,17,20,35,5,28,41,27,34,1.1063660383224487,0.1010807678103447
2007,27,Nebraska,4822,8.48094367980957,1.78344,0.5785440802574158,18,24,25,16,25,35,4,20,40,15,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,27,Nebraska,4686,8.4523344039917,1.796378,0.5857723951339722,28,29,28,12,19,36,28,21,49,7,22,18,24,25,16,25,35,4,20,40,15,20,1.7834399938583374,0.5785440802574158
2009,27,Nebraska,4131,8.326274871826172,1.812683,0.594808042049408,24,17,7,15,12,32,6,19,36,11,11,28,29,28,12,19,36,28,21,49,7,22,1.7963780164718628,0.5857723951339722
2010,27,Nebraska,4464,8.403800964355469,1.829542,0.6040656566619873,18,18,14,21,18,37,8,22,40,5,13,24,17,7,15,12,32,6,19,36,11,11,1.8126829862594604,0.594808042049408
2011,27,Nebraska,4584,8.430327415466309,1.840672,0.6101307272911072,17,31,5,12,17,35,5,20,35,6,10,18,18,14,21,18,37,8,22,40,5,13,1.8295420408248901,0.6040656566619873
2012,27,Nebraska,10945,9.300638198852539,1.853303,0.6169694662094116,19,19,9,13,13,34,6,18,32,11,6,17,31,5,12,17,35,5,20,35,6,10,1.8406720161437988,0.6101307272911072
2013,27,Nebraska,6790,8.823205947875977,1.865279,0.6234106421470642,23,NA,4,4,10,36,3,30,39,5,4,19,19,9,13,13,34,6,18,32,11,6,1.8533029556274414,0.6169694662094116
2014,27,Nebraska,6695,8.80911636352539,1.879321,0.6309105157852173,16,NA,11,8,10,40,3,19,35,21,4,23,NA,4,4,10,36,3,30,39,5,4,1.865278959274292,0.6234106421470642
2015,27,Nebraska,6465,8.774158477783203,1.891277,0.6372522711753845,11,NA,20,15,15,32,5,16,36,8,7,16,NA,11,8,10,40,3,19,35,21,4,1.8793209791183472,0.6309105157852173
2016,27,Nebraska,6312,8.750207901000977,1.905616,0.6448053121566772,19,20,19,18,15,31,7,9,31,15,11,11,NA,20,15,15,32,5,16,36,8,7,1.8912769556045532,0.6372522711753845
2017,27,Nebraska,6413,8.766082763671875,1.915947,0.6502119898796082,20,26,27,10,13,33,6,5,41,13,13,19,20,19,18,15,31,7,9,31,15,11,1.905616044998169,0.6448053121566772
2018,27,Nebraska,6584,8.792397499084473,1.925614,0.6552448868751526,22,29,37,11,2,31,12,3,33,15,14,20,26,27,10,13,33,6,5,41,13,13,1.9159469604492188,0.6502119898796082
2019,27,Nebraska,5942,8.689801216125488,1.934408,0.6598013639450073,26,22,9,15,5,33,10,6,41,17,8,22,29,37,11,2,31,12,3,33,15,14,1.9256139993667603,0.6552448868751526
2021,27,Nebraska,7495,8.921991348266602,1.964253,0.6751120090484619,40,NA,7,9,24,37,6,11,39,16,13,26,22,9,15,5,33,10,6,41,17,8,NA,NA
2022,27,Nebraska,8351,9.0301361083984375,1.96806,0.6770482659339905,32,22,13,7,16,24,12,24,32,19,7,40,NA,7,9,24,37,6,11,39,16,13,1.9642529487609863,0.6751120090484619
2007,28,Nevada,9588,9.168267250061035,2.601072,0.9559236764907837,21,16,18,30,41,28,16,49,38,11,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,28,Nevada,8647,9.06496810913086,2.65363,0.9759284853935242,16,18,34,34,37,29,23,49,32,38,45,21,16,18,30,41,28,16,49,38,11,43,2.601072072982788,0.9559236764907837
2009,28,Nevada,7350,8.90245532989502,2.684665,0.987555980682373,18,29,49,34,36,40,20,49,36,36,47,16,18,34,34,37,29,23,49,32,38,45,2.653630018234253,0.9759284853935242
2010,28,Nevada,7787,8.960210800170898,2.702405,0.9941421151161194,19,31,49,37,37,37,15,50,40,37,47,18,29,49,34,36,40,20,49,36,36,47,2.6846649646759033,0.987555980682373
2011,28,Nevada,7926,8.977903366088867,2.71273,0.9979555010795593,18,25,50,44,35,37,17,50,29,32,45,19,31,49,37,37,37,15,50,40,37,47,2.7024049758911133,0.9941421151161194
2012,28,Nevada,8206,9.01262092590332,2.743996,1.0094152688980103,13,5,50,46,30,44,18,50,34,22,45,18,25,50,44,35,37,17,50,29,32,45,2.7127299308776855,0.9979555010795593
2013,28,Nevada,8781,9.080345153808594,2.77597,1.0210002660751343,13,NA,50,47,30,42,22,50,39,17,46,13,5,50,46,30,44,18,50,34,22,45,2.7439959049224854,1.0094152688980103
2014,28,Nevada,8871,9.090542793273926,2.817628,1.0358953475952148,14,NA,21,35,25,35,22,49,15,30,29,13,NA,50,47,30,42,22,50,39,17,46,2.775969982147217,1.0210002660751343
2015,28,Nevada,9516,9.16072940826416,2.866939,1.053244948387146,27,NA,47,27,24,45,24,50,43,33,45,14,NA,21,35,25,35,22,49,15,30,29,2.8176279067993164,1.0358953475952148
2016,28,Nevada,9841,9.194313049316406,2.917563,1.0707486867904663,23,11,37,41,22,42,23,50,44,33,40,27,NA,47,27,24,45,24,50,43,33,45,2.866939067840576,1.053244948387146
2017,28,Nevada,9949,9.20522689819336,2.969905,1.0885299444198608,41,8,10,34,18,50,18,50,26,36,39,23,11,37,41,22,42,23,50,44,33,40,2.917562961578369,1.0707486867904663
2018,28,Nevada,10937,9.299906730651855,3.027341,1.1076847314834595,37,8,15,40,3,47,19,50,26,36,33,41,8,10,34,18,50,18,50,26,36,39,2.969904899597168,1.0885299444198608
2019,28,Nevada,11208,9.324382781982422,3.080156,1.1249802112579346,48,11,11,28,15,44,17,45,27,36,29,37,8,15,40,3,47,19,50,26,36,33,3.027340888977051,1.1076847314834595
2021,28,Nevada,17917,9.793505668640137,3.146632,1.1463326215744019,24,NA,23,47,27,50,16,49,35,37,40,48,11,11,28,15,44,17,45,27,36,29,NA,NA
2022,28,Nevada,18549,9.8281707763671875,3.177421,1.1560698747634888,29,5,25,41,20,47,7,50,26,35,39,24,NA,23,47,27,50,16,49,35,37,40,3.146631956100464,1.1463326215744019
